n,city,country,status,building,landmark,moved_m,area_m2,old_lat,old_lon,new_lat,new_lon,osm,map
392,Ferrara,Italy,snapped,Cattedrale di San Giorgio Martire (cathedral),yes,283,4511,44.8381,11.6198,44.835588,11.620326,https://www.openstreetmap.org/way/338822833,"https://www.google.com/maps/@44.835588,11.620326,200m/data=!3m1!1e3"
393,Livorno,Italy,snapped,Mercato Centrale (marketplace),yes,230,5722,43.5485,10.3106,43.549969,10.312598,https://www.openstreetmap.org/way/58304991,"https://www.google.com/maps/@43.549969,10.312598,200m/data=!3m1!1e3"
394,Pisa,Italy,snapped,Chiesa di Santa Caterina d'Alessandria (church),yes,304,1817,43.7228,10.4017,43.721146,10.404705,https://www.openstreetmap.org/way/95460603,"https://www.google.com/maps/@43.721146,10.404705,200m/data=!3m1!1e3"
395,Lucca,Italy,snapped,Palazzo Ducale (attraction),yes,206,5356,43.8429,10.5027,43.841252,10.501537,https://www.openstreetmap.org/way/180148963,"https://www.google.com/maps/@43.841252,10.501537,200m/data=!3m1!1e3"
396,Siena,Italy,snapped,Spedale Santa Maria della Scala (public),yes,294,6542,43.3188,11.3308,43.316923,11.328241,https://www.openstreetmap.org/way/275972216,"https://www.google.com/maps/@43.316923,11.328241,200m/data=!3m1!1e3"
397,Arezzo,Italy,snapped,Basilica di San Francesco (place of worship),yes,158,1050,43.4633,11.8796,43.464439,11.880764,https://www.openstreetmap.org/way/722162132,"https://www.google.com/maps/@43.464439,11.880764,200m/data=!3m1!1e3"
398,Bergamo,Italy,snapped,Ex Palazzetto dello Sport (stadium),yes,391,2076,45.6983,9.6773,45.701734,9.678332,https://www.openstreetmap.org/way/48995243,"https://www.google.com/maps/@45.701734,9.678332,200m/data=!3m1!1e3"
399,Brescia,Italy,snapped,Palazzo Bargnani (palace),yes,227,1861,45.5416,10.2118,45.540120,10.213800,https://www.openstreetmap.org/way/262896710,"https://www.google.com/maps/@45.540120,10.213800,200m/data=!3m1!1e3"
400,Monza,Italy,snapped,Ex Caserma San Paolo (public),yes,124,2140,45.5845,9.2744,45.585577,9.274796,https://www.openstreetmap.org/way/227144858,"https://www.google.com/maps/@45.585577,9.274796,200m/data=!3m1!1e3"
401,Como,Italy,kept,"unnamed building, 1,873 m²",,0,1873,45.8081,9.0852,45.8081,9.0852,https://www.openstreetmap.org/way/110245933,"https://www.google.com/maps/@45.8081,9.0852,200m/data=!3m1!1e3"
402,Trento,Italy,kept,"unnamed office, 1,714 m²",,0,1714,46.0748,11.1217,46.0748,11.1217,https://www.openstreetmap.org/way/53879679,"https://www.google.com/maps/@46.0748,11.1217,200m/data=!3m1!1e3"
403,Bolzano,Italy,snapped,Freie Universität Bozen - Libera Università di Bolzano (university),yes,359,7119,46.4983,11.3548,46.498240,11.350117,https://www.openstreetmap.org/way/48977942,"https://www.google.com/maps/@46.498240,11.350117,200m/data=!3m1!1e3"
404,Vicenza,Italy,snapped,Teatro Comunale (theatre),yes,305,4165,45.5455,11.5354,45.548068,11.534022,https://www.openstreetmap.org/way/225923237,"https://www.google.com/maps/@45.548068,11.534022,200m/data=!3m1!1e3"
405,Lecce,Italy,snapped,Cinema Massimo (cinema),yes,72,1752,40.3515,18.175,40.351478,18.174158,https://www.openstreetmap.org/way/299718318,"https://www.google.com/maps/@40.351478,18.174158,200m/data=!3m1!1e3"
406,Groningen,Netherlands,kept,Het Groot Handelshuis (commercial),,0,2222,53.2194,6.5665,53.2194,6.5665,https://www.openstreetmap.org/way/270164745,"https://www.google.com/maps/@53.2194,6.5665,200m/data=!3m1!1e3"
407,Maastricht,Netherlands,snapped,"unnamed commercial, 6,711 m²",,139,6711,50.8514,5.691,50.851835,5.692859,https://www.openstreetmap.org/way/276240200,"https://www.google.com/maps/@50.851835,5.692859,200m/data=!3m1!1e3"
408,Tilburg,Netherlands,kept,"unnamed apartments, 341 m²",,0,341,51.5555,5.0913,51.5555,5.0913,https://www.openstreetmap.org/way/281064053,"https://www.google.com/maps/@51.5555,5.0913,200m/data=!3m1!1e3"
409,Breda,Netherlands,snapped,Boeimeerflat (apartments),,99,1399,51.5719,4.7683,51.571063,4.768767,https://www.openstreetmap.org/way/267587884,"https://www.google.com/maps/@51.571063,4.768767,200m/data=!3m1!1e3"
410,Nijmegen,Netherlands,snapped,"unnamed sports centre, 7,187 m²",,71,7187,51.8126,5.8372,51.813171,5.836739,https://www.openstreetmap.org/way/281216441,"https://www.google.com/maps/@51.813171,5.836739,200m/data=!3m1!1e3"
411,Arnhem,Netherlands,snapped,"unnamed train station, 6,786 m²",yes,210,6786,51.9851,5.8987,51.984149,5.901353,https://www.openstreetmap.org/way/498613991,"https://www.google.com/maps/@51.984149,5.901353,200m/data=!3m1!1e3"
412,Haarlem,Netherlands,snapped,Vomar (retail),,381,3470,52.3874,4.6462,52.390813,4.646568,https://www.openstreetmap.org/way/1410002316,"https://www.google.com/maps/@52.390813,4.646568,200m/data=!3m1!1e3"
413,Leiden,Netherlands,snapped,Hooglandse Kerk (church),yes,304,3211,52.1601,4.497,52.157968,4.494219,https://www.openstreetmap.org/way/288153046,"https://www.google.com/maps/@52.157968,4.494219,200m/data=!3m1!1e3"
414,Delft,Netherlands,kept,"unnamed apartments, 408 m²",,0,408,52.0116,4.3571,52.0116,4.3571,https://www.openstreetmap.org/way/254136809,"https://www.google.com/maps/@52.0116,4.3571,200m/data=!3m1!1e3"
415,Enschede,Netherlands,snapped,Wilminktheater (theatre),yes,157,6136,52.2215,6.8937,52.222689,6.894948,https://www.openstreetmap.org/way/272583939,"https://www.google.com/maps/@52.222689,6.894948,200m/data=!3m1!1e3"
416,Amersfoort,Netherlands,snapped,Sint-Joriskerk (church),yes,185,2666,52.1561,5.3878,52.156656,5.390355,https://www.openstreetmap.org/way/57977234,"https://www.google.com/maps/@52.156656,5.390355,200m/data=!3m1!1e3"
417,Zwolle,Netherlands,snapped,TalentStad (school),,181,6729,52.5168,6.083,52.516805,6.080328,https://www.openstreetmap.org/way/271056949,"https://www.google.com/maps/@52.516805,6.080328,200m/data=!3m1!1e3"
418,Alkmaar,Netherlands,snapped,Ringers Winkelcentrum (building),,251,15477,52.6324,4.7534,52.634186,4.751130,https://www.openstreetmap.org/way/633712855,"https://www.google.com/maps/@52.634186,4.751130,200m/data=!3m1!1e3"
419,Leeuwarden,Netherlands,kept,Provinsjehûs Fryslân (civic),yes,0,3570,53.2012,5.7999,53.2012,5.7999,https://www.openstreetmap.org/way/302419536,"https://www.google.com/maps/@53.2012,5.7999,200m/data=!3m1!1e3"
420,'s- Hertogenbosch,Netherlands,snapped,Arrahma Moskee (place of worship),yes,263,1085,51.6978,5.3037,51.698391,5.300009,https://www.openstreetmap.org/way/268506481,"https://www.google.com/maps/@51.698391,5.300009,200m/data=!3m1!1e3"
421,Bruges,Belgium,snapped,Provinciaal Hof (townhall),yes,55,1421,51.2093,3.2247,51.208937,3.225227,https://www.openstreetmap.org/way/221397599,"https://www.google.com/maps/@51.208937,3.225227,200m/data=!3m1!1e3"
422,Leuven,Belgium,snapped,Sint-Pieterskerk (church),yes,60,3441,50.8798,4.7005,50.879521,4.701225,https://www.openstreetmap.org/way/37427236,"https://www.google.com/maps/@50.879521,4.701225,200m/data=!3m1!1e3"
423,Liège,Belgium,kept,Patinoire de Liège (building),,0,4431,50.6326,5.5797,50.6326,5.5797,https://www.openstreetmap.org/way/452554178,"https://www.google.com/maps/@50.6326,5.5797,200m/data=!3m1!1e3"
424,Charleroi,Belgium,snapped,Palais des Beaux-Arts (retail),yes,367,5791,50.4108,4.4446,50.413848,4.442613,https://www.openstreetmap.org/way/574910733,"https://www.google.com/maps/@50.413848,4.442613,200m/data=!3m1!1e3"
425,Namur,Belgium,snapped,Palais de Justice de Namur (public),yes,73,7241,50.4674,4.8718,50.467489,4.872814,https://www.openstreetmap.org/way/1163418539,"https://www.google.com/maps/@50.467489,4.872814,200m/data=!3m1!1e3"
426,Mechelen,Belgium,snapped,Sint-Romboutskathedraal (cathedral),yes,346,4265,51.0259,4.4776,51.028877,4.479008,https://www.openstreetmap.org/way/28809723,"https://www.google.com/maps/@51.028877,4.479008,200m/data=!3m1!1e3"
427,Hasselt,Belgium,snapped,Station Hasselt (train station),yes,304,1736,50.9307,5.3325,50.930781,5.328174,https://www.openstreetmap.org/way/97336017,"https://www.google.com/maps/@50.930781,5.328174,200m/data=!3m1!1e3"
428,Mons,Belgium,snapped,Cours de Justice (public),yes,393,5316,50.4542,3.9567,50.457560,3.958414,https://www.openstreetmap.org/way/1290723439,"https://www.google.com/maps/@50.457560,3.958414,200m/data=!3m1!1e3"
429,Kortrijk,Belgium,snapped,Stadhuis Kortrijk (townhall),yes,101,2804,50.828,3.2649,50.828710,3.264016,https://www.openstreetmap.org/way/567406736,"https://www.google.com/maps/@50.828710,3.264016,200m/data=!3m1!1e3"
430,Ostend,Belgium,snapped,Sint-Petrus-en-Pauluskerk (church),yes,97,1864,51.23,2.92,51.229617,2.921244,https://www.openstreetmap.org/way/89028952,"https://www.google.com/maps/@51.229617,2.921244,200m/data=!3m1!1e3"
431,Salzburg,Austria,snapped,"unnamed industrial, 2,958 m²",,149,2958,47.8095,13.055,47.809284,13.053027,https://www.openstreetmap.org/way/45130370,"https://www.google.com/maps/@47.809284,13.053027,200m/data=!3m1!1e3"
432,Innsbruck,Austria,snapped,Sillpark Shopping Center (retail),,343,14173,47.2692,11.4041,47.266118,11.404186,https://www.openstreetmap.org/way/97819328,"https://www.google.com/maps/@47.266118,11.404186,200m/data=!3m1!1e3"
