n,city,country,continent,anchor,lat,lon,terrain_m,poi_alt_m,gnd_radius_m,gnd_height_m,orig_lat,orig_lon,snap_building,snap_dist_m,snap_area_m2,snap_landmark,snap_osm,snap_status
413,Leiden,Netherlands,Europe,Hooglandse Kerk,52.157968,4.494219,9.0,36.0,,,52.1601,4.497,Hooglandse Kerk (church),304,3211,yes,way/288153046,snapped
414,Delft,Netherlands,Europe,Delft Centrum,52.0116,4.3571,4.0,31.0,,,52.0116,4.3571,"unnamed apartments, 408 m²",0,408,,way/254136809,kept
415,Enschede,Netherlands,Europe,Wilminktheater,52.222689,6.894948,47.0,74.0,,,52.2215,6.8937,Wilminktheater (theatre),157,6136,yes,way/272583939,snapped
416,Amersfoort,Netherlands,Europe,Sint-Joriskerk,52.156656,5.390355,11.0,38.0,,,52.1561,5.3878,Sint-Joriskerk (church),185,2666,yes,way/57977234,snapped
417,Zwolle,Netherlands,Europe,TalentStad,52.516805,6.080328,5.0,32.0,,,52.5168,6.083,TalentStad (school),181,6729,,way/271056949,snapped
418,Alkmaar,Netherlands,Europe,Ringers Winkelcentrum,52.634186,4.751130,6.0,33.0,,,52.6324,4.7534,Ringers Winkelcentrum (building),251,15477,,way/633712855,snapped
419,Leeuwarden,Netherlands,Europe,Leeuwarden Centrum,53.2012,5.7999,4.0,31.0,,,53.2012,5.7999,Provinsjehûs Fryslân (civic),0,3570,yes,way/302419536,kept
420,'s- Hertogenbosch,Netherlands,Europe,Arrahma Moskee,51.698391,5.300009,5.0,32.0,,,51.6978,5.3037,Arrahma Moskee (place of worship),263,1085,yes,way/268506481,snapped
421,Bruges,Belgium,Europe,Provinciaal Hof,51.208937,3.225227,12.0,39.0,,,51.2093,3.2247,Provinciaal Hof (townhall),55,1421,yes,way/221397599,snapped
422,Leuven,Belgium,Europe,Sint-Pieterskerk,50.879521,4.701225,35.0,62.0,,,50.8798,4.7005,Sint-Pieterskerk (church),60,3441,yes,way/37427236,snapped
423,Liège,Belgium,Europe,Liège Centre,50.6326,5.5797,70.0,97.0,,,50.6326,5.5797,Patinoire de Liège (building),0,4431,,way/452554178,kept
424,Charleroi,Belgium,Europe,Palais des Beaux-Arts,50.413848,4.442613,134.0,161.0,,,50.4108,4.4446,Palais des Beaux-Arts (retail),367,5791,yes,way/574910733,snapped
425,Namur,Belgium,Europe,Palais de Justice de Namur,50.467489,4.872814,81.0,108.0,,,50.4674,4.8718,Palais de Justice de Namur (public),73,7241,yes,way/1163418539,snapped
426,Mechelen,Belgium,Europe,Sint-Romboutskathedraal,51.028877,4.479008,10.0,37.0,,,51.0259,4.4776,Sint-Romboutskathedraal (cathedral),346,4265,yes,way/28809723,snapped
427,Hasselt,Belgium,Europe,Station Hasselt,50.930781,5.328174,39.0,66.0,,,50.9307,5.3325,Station Hasselt (train station),304,1736,yes,way/97336017,snapped
428,Mons,Belgium,Europe,Cours de Justice,50.457560,3.958414,42.0,69.0,,,50.4542,3.9567,Cours de Justice (public),393,5316,yes,way/1290723439,snapped
429,Kortrijk,Belgium,Europe,Stadhuis Kortrijk,50.828710,3.264016,19.0,46.0,,,50.828,3.2649,Stadhuis Kortrijk (townhall),101,2804,yes,way/567406736,snapped
430,Ostend,Belgium,Europe,Sint-Petrus-en-Pauluskerk,51.229617,2.921244,10.0,37.0,,,51.23,2.92,Sint-Petrus-en-Pauluskerk (church),97,1864,yes,way/89028952,snapped
431,Salzburg,Austria,Europe,Salzburg Altstadt,47.809284,13.053027,427.0,454.0,,,47.8095,13.055,"unnamed industrial, 2,958 m²",149,2958,,way/45130370,snapped
432,Innsbruck,Austria,Europe,Sillpark Shopping Center,47.266118,11.404186,582.0,609.0,,,47.2692,11.4041,Sillpark Shopping Center (retail),343,14173,,way/97819328,snapped
433,Linz,Austria,Europe,Linzer Schloss,48.305602,14.282283,295.0,322.0,,,48.3069,14.2858,Linzer Schloss (castle),298,4155,yes,way/14039464,snapped
434,Klagenfurt,Austria,Europe,Landhaus,46.624883,14.305894,452.0,479.0,,,46.6247,14.3053,Landhaus (public),50,1929,yes,way/43596350,snapped
