n,city,country,status,building,landmark,moved_m,area_m2,old_lat,old_lon,new_lat,new_lon,osm,map
335,Plovdiv,Bulgaria,kept,"unnamed building, 1,711 m²",,0,1711,42.1333,24.75,42.1333,24.75,https://www.openstreetmap.org/way/135437982,"https://www.google.com/maps/@42.1333,24.75,200m/data=!3m1!1e3"
336,Ruse,Bulgaria,snapped,Доходното здание (building),yes,169,4633,43.8485,25.9545,43.847921,25.952547,https://www.openstreetmap.org/way/212128643,"https://www.google.com/maps/@43.847921,25.952547,200m/data=!3m1!1e3"
337,Stara Zagora,Bulgaria,snapped,"unnamed building, 6,366 m²",,243,6366,42.4167,25.6167,42.414960,25.618495,https://www.openstreetmap.org/way/891253013,"https://www.google.com/maps/@42.414960,25.618495,200m/data=!3m1!1e3"
338,Varna,Bulgaria,snapped,Свето Успение Богородично (place of worship),yes,64,1181,43.2049,27.9106,43.205255,27.909985,https://www.openstreetmap.org/way/1177863780,"https://www.google.com/maps/@43.205255,27.909985,200m/data=!3m1!1e3"
339,Chania,Greece,snapped,Φρούριο Φιρκά (castle),yes,248,2390,35.5167,24.0167,35.518729,24.015569,https://www.openstreetmap.org/way/1069616183,"https://www.google.com/maps/@35.518729,24.015569,200m/data=!3m1!1e3"
340,Heraklion,Greece,snapped,"unnamed building, 420 m²",,194,420,35.3333,25.2,35.331619,25.200546,https://www.openstreetmap.org/way/626700177,"https://www.google.com/maps/@35.331619,25.200546,200m/data=!3m1!1e3"
341,Kavala,Greece,snapped,ΠΕΔΥ (public),yes,394,1661,40.9385,24.4110,40.936146,24.407493,https://www.openstreetmap.org/way/320111060,"https://www.google.com/maps/@40.936146,24.407493,200m/data=!3m1!1e3"
342,Larissa,Greece,snapped,Άγιος Νικόλαος (church),yes,171,1283,39.6333,22.4167,39.633897,22.414868,https://www.openstreetmap.org/way/135401060,"https://www.google.com/maps/@39.633897,22.414868,200m/data=!3m1!1e3"
343,Patras,Greece,snapped,Μουσείο Λαϊκής Τέχνης (museum),yes,246,620,38.2333,21.7333,38.234951,21.731428,https://www.openstreetmap.org/way/165471347,"https://www.google.com/maps/@38.234951,21.731428,200m/data=!3m1!1e3"
344,Piraeus,Greece,snapped,Πολιτιστικό Κέντρο Μελίνα Μερκούρη (community centre),yes,270,627,37.95,23.7,37.947683,23.700900,https://www.openstreetmap.org/way/349191268,"https://www.google.com/maps/@37.947683,23.700900,200m/data=!3m1!1e3"
345,Serres,Greece,snapped,"unnamed building, 1,485 m²",,117,1485,41.0833,23.5167,41.082350,23.516101,https://www.openstreetmap.org/way/1088247619,"https://www.google.com/maps/@41.082350,23.516101,200m/data=!3m1!1e3"
346,Volos,Greece,snapped,Δικαστικό Μέγαρο (courthouse),yes,393,1269,39.3667,22.95,39.363817,22.947358,https://www.openstreetmap.org/way/36836243,"https://www.google.com/maps/@39.363817,22.947358,200m/data=!3m1!1e3"
347,Belgrade,Serbia,snapped,Epic Event Center (restaurant),,395,694,44.8333,20.5,44.831960,20.495371,https://www.openstreetmap.org/way/1091680795,"https://www.google.com/maps/@44.831960,20.495371,200m/data=!3m1!1e3"
348,Niš,Serbia,snapped,"unnamed building, 1,195 m²",,92,1195,43.3333,21.9,43.333755,21.900945,https://www.openstreetmap.org/way/691546486,"https://www.google.com/maps/@43.333755,21.900945,200m/data=!3m1!1e3"
349,Novi Sad,Serbia,kept,"unnamed apartments, 505 m²",,0,505,45.25,19.85,45.25,19.85,https://www.openstreetmap.org/way/219748913,"https://www.google.com/maps/@45.25,19.85,200m/data=!3m1!1e3"
350,Osijek,Croatia,kept,"unnamed house, 7,640 m²",,0,7640,45.55,18.6833,45.55,18.6833,https://www.openstreetmap.org/way/555758622,"https://www.google.com/maps/@45.55,18.6833,200m/data=!3m1!1e3"
351,Košice,Slovakia,snapped,Stavebná fakulta TUKE (university),yes,376,3438,48.7333,21.25,48.734314,21.245110,https://www.openstreetmap.org/way/170007143,"https://www.google.com/maps/@48.734314,21.245110,200m/data=!3m1!1e3"
352,Apeldoorn,Netherlands,snapped,"unnamed civic, 7,374 m²",yes,385,7374,52.2167,5.95,52.219678,5.952873,https://www.openstreetmap.org/way/263025973,"https://www.google.com/maps/@52.219678,5.952873,200m/data=!3m1!1e3"
