n,city,country,continent,anchor,lat,lon,terrain_m,poi_alt_m,orig_lat,orig_lon,snap_building,snap_dist_m,snap_area_m2,snap_landmark,snap_osm,snap_status,anchor_source
338,Varna,Bulgaria,Europe,Свето Успение Богородично,43.205255,27.909985,37.0,64.0,43.2049,27.9106,Свето Успение Богородично (place of worship),64,1181,yes,way/1177863780,snapped,handpicked
339,Chania,Greece,Europe,Φρούριο Φιρκά,35.518729,24.015569,6.0,33.0,35.5167,24.0167,Φρούριο Φιρκά (castle),248,2390,yes,way/1069616183,snapped,pdf
340,Heraklion,Greece,Europe,Heraklion City Center,35.331619,25.200546,2.0,29.0,35.3333,25.2,"unnamed building, 420 m²",194,420,,way/626700177,snapped,pdf
341,Kavala,Greece,Europe,ΠΕΔΥ,40.936146,24.407493,6.0,33.0,40.9385,24.4110,ΠΕΔΥ (public),394,1661,yes,way/320111060,snapped,handpicked
342,Larissa,Greece,Europe,Άγιος Νικόλαος,39.633897,22.414868,80.0,107.0,39.6333,22.4167,Άγιος Νικόλαος (church),171,1283,yes,way/135401060,snapped,pdf
343,Patras,Greece,Europe,Μουσείο Λαϊκής Τέχνης,38.234951,21.731428,9.0,36.0,38.2333,21.7333,Μουσείο Λαϊκής Τέχνης (museum),246,620,yes,way/165471347,snapped,pdf
344,Piraeus,Greece,Europe,Πολιτιστικό Κέντρο Μελίνα Μερκούρη,37.947683,23.700900,28.0,55.0,37.95,23.7,Πολιτιστικό Κέντρο Μελίνα Μερκούρη (community centre),270,627,yes,way/349191268,snapped,pdf
345,Serres,Greece,Europe,Serres City Center,41.082350,23.516101,39.0,66.0,41.0833,23.5167,"unnamed building, 1,485 m²",117,1485,,way/1088247619,snapped,pdf
346,Volos,Greece,Europe,Δικαστικό Μέγαρο,39.363817,22.947358,11.0,38.0,39.3667,22.95,Δικαστικό Μέγαρο (courthouse),393,1269,yes,way/36836243,snapped,pdf
347,Belgrade,Serbia,Europe,Epic Event Center,44.831960,20.495371,71.0,98.0,44.8333,20.5,Epic Event Center (restaurant),395,694,,way/1091680795,snapped,pdf
348,Niš,Serbia,Europe,Niš City Center,43.333755,21.900945,207.0,234.0,43.3333,21.9,"unnamed building, 1,195 m²",92,1195,,way/691546486,snapped,pdf
349,Novi Sad,Serbia,Europe,Novi Sad City Center,45.25,19.85,84.0,111.0,45.25,19.85,"unnamed apartments, 505 m²",0,505,,way/219748913,kept,pdf
